 TimeStamp manip.manip_measure_out_port manip.force_transmission_out_port tt.outport_grip.position.x tt.outport_grip.position.y tt.outport_grip.position.z tt.outport_grip.orientation.x tt.outport_grip.orientation.y tt.outport_grip.orientation.z tt.outport_grip.orientation.w jr3.ForceTorqueOutputPort.forces.0 jr3.ForceTorqueOutputPort.forces.1 jr3.ForceTorqueOutputPort.forces.2 jr3.ForceTorqueOutputPort.torques.0 jr3.ForceTorqueOutputPort.torques.1 jr3.ForceTorqueOutputPort.torques.2
 1.15024 0.0242373 6.74522   -0.216177 -0.16031 0.242944  -0.198318 0.536733 -0.777042 0.262286   0.132446 -1.48254 4.41772  0.444946 -0.499268 -0.102539 
 1.16021 0.0242373 6.74522   -0.216177 -0.16031 0.242944  -0.198318 0.536733 -0.777042 0.262286   0.113525 -1.39783 4.22974  0.519104 -0.798828 -0.102539 
 1.1702 0.0242373 6.74522   -0.216177 -0.16031 0.242944  -0.198318 0.536733 -0.777042 0.262286   0.113525 -1.56726 4.37073  0.519104 -0.798828 -0.102539 
 1.18021 0.0242373 6.74522   -0.216177 -0.16031 0.242944  -0.198318 0.536733 -0.777042 0.262286   0.321655 -1.29193 4.7467  0.889893 -0.948608 -0.0205078 
 1.19023 0.0242373 6.74522   -0.216177 -0.16031 0.242944  -0.198318 0.536733 -0.777042 0.262286   0.548706 -1.18604 4.69971  1.03821 -1.27313 -0.0205078 
 1.20023 0.0242373 6.74522   -0.216177 -0.16031 0.242944  -0.198318 0.536733 -0.777042 0.262286   0.700073 -1.08014 4.69971  1.08765 -1.57269 -0.0205078 
 1.21023 0.0242373 6.74522   -0.216177 -0.16031 0.242944  -0.198318 0.536733 -0.777042 0.262286   0.681152 -0.995422 4.51172  1.2854 -1.69751 -0.0205078 
 1.22024 0.0242373 6.74522   -0.216177 -0.16031 0.242944  -0.198318 0.536733 -0.777042 0.262286   0.605469 -0.995422 4.69971  1.2854 -1.69751 -0.102539 
 1.23021 0.0264287 6.15711   -0.232923 -0.172453 0.239343  -0.292645 0.45414 0.600376 0.589631   0.529785 -1.10132 4.8877  1.31012 -1.59766 -0.102539 
 1.24024 0.0264287 6.15711   -0.232923 -0.172453 0.239343  -0.292645 0.45414 0.600376 0.589631   0.700073 -1.08014 4.8877  1.18652 -1.67255 -0.102539 
 1.25021 0.0264287 6.15711   -0.232923 -0.172453 0.239343  -0.292645 0.45414 0.600376 0.589631   0.681152 -1.08014 4.69971  1.26068 -1.79736 -0.18457 
 1.26021 0.0264287 6.15711   -0.232923 -0.172453 0.239343  -0.292645 0.45414 0.600376 0.589631   0.756836 -0.995422 4.69971  1.23596 -1.79736 -0.18457 
 1.27021 0.0264287 6.15711   -0.232923 -0.172453 0.239343  -0.292645 0.45414 0.600376 0.589631   0.83252 -0.995422 4.8407  1.35956 -1.79736 -0.0205078 
 1.28021 0.0264287 6.15711   -0.232923 -0.172453 0.239343  -0.292645 0.45414 0.600376 0.589631   0.908203 -0.910706 4.65271  1.58203 -1.72247 -0.102539 
 1.29021 0.0264287 6.15711   -0.232923 -0.172453 0.239343  -0.292645 0.45414 0.600376 0.589631   0.908203 -0.889526 4.65271  1.43372 -1.79736 -0.18457 
 1.30021 0.0264287 6.15711   -0.232923 -0.172453 0.239343  -0.292645 0.45414 0.600376 0.589631   0.813599 -0.825989 4.65271  1.55731 -1.72247 -0.18457 
 1.31021 0.0264287 6.15711   -0.232923 -0.172453 0.239343  -0.292645 0.45414 0.600376 0.589631   0.756836 -0.910706 4.65271  1.38428 -1.59766 -0.102539 
 1.32024 0.0264287 6.15711   -0.232923 -0.172453 0.239343  -0.292645 0.45414 0.600376 0.589631   0.83252 -1.08014 5.26367  1.38428 -1.4978 -0.18457 
 1.33021 0.0283171 5.65497   -0.248597 -0.180467 0.238108  -0.553965 -0.577518 0.500193 -0.330762   0.756836 -0.995422 5.07568  1.2854 -1.57269 -0.18457 
 1.34021 0.0283171 5.65497   -0.248597 -0.180467 0.238108  -0.553965 -0.577518 0.500193 -0.330762   0.83252 -0.995422 5.07568  1.2854 -1.57269 -0.18457 
 1.35021 0.0283171 5.65497   -0.248597 -0.180467 0.238108  -0.553965 -0.577518 0.500193 -0.330762   0.83252 -0.995422 4.8407  1.48315 -1.59766 -0.102539 
 1.36022 0.0283171 5.65497   -0.248597 -0.180467 0.238108  -0.553965 -0.577518 0.500193 -0.330762   1.05957 -0.910706 4.8407  1.50787 -1.39795 -0.102539 
 1.37021 0.0283171 5.65497   -0.248597 -0.180467 0.238108  -0.553965 -0.577518 0.500193 -0.330762   0.983887 -0.995422 4.65271  1.60675 -1.52277 -0.18457 
 1.38022 0.0283171 5.65497   -0.248597 -0.180467 0.238108  -0.553965 -0.577518 0.500193 -0.330762   1.04065 -0.889526 4.65271  1.75507 -1.72247 -0.102539 
 1.39021 0.0283171 5.65497   -0.248597 -0.180467 0.238108  -0.553965 -0.577518 0.500193 -0.330762   0.983887 -1.08014 4.8407  1.38428 -1.59766 -0.18457 
 1.40021 0.0283171 5.65497   -0.248597 -0.180467 0.238108  -0.553965 -0.577518 0.500193 -0.330762   0.83252 -1.08014 4.65271  1.50787 -1.4978 -0.102539 
 1.41022 0.0283171 5.65497   -0.248597 -0.180467 0.238108  -0.553965 -0.577518 0.500193 -0.330762   0.983887 -1.14368 5.02869  1.35956 -1.79736 -0.18457 
 1.42019 0.0283171 5.65497   -0.248597 -0.180467 0.238108  -0.553965 -0.577518 0.500193 -0.330762   0.983887 -1.16486 4.8407  1.35956 -1.69751 -0.102539 
 1.4302 0.0299533 5.27786   -0.262001 -0.189489 0.2361  -0.56701 -0.581488 0.486345 -0.322242   1.00281 -1.24957 4.8407  1.2854 -1.57269 -0.18457 
