 TimeStamp manip.manip_measure_out_port manip.force_transmission_out_port manip.q_hand_out_port.0 manip.q_hand_out_port.1 manip.q_hand_out_port.2 manip.q_hand_out_port.3 tt.outport_grip.position.x tt.outport_grip.position.y tt.outport_grip.position.z tt.outport_grip.orientation.x tt.outport_grip.orientation.y tt.outport_grip.orientation.z tt.outport_grip.orientation.w jr3.ForceTorqueOutputPort.forces.0 jr3.ForceTorqueOutputPort.forces.1 jr3.ForceTorqueOutputPort.forces.2 jr3.ForceTorqueOutputPort.torques.0 jr3.ForceTorqueOutputPort.torques.1 jr3.ForceTorqueOutputPort.torques.2 test.cart_pose_loop_out_port.p.X test.cart_pose_loop_out_port.p.Y test.cart_pose_loop_out_port.p.Z test.cart_pose_loop_out_port.M.X_x test.cart_pose_loop_out_port.M.X_y test.cart_pose_loop_out_port.M.X_z test.cart_pose_loop_out_port.M.Y_x test.cart_pose_loop_out_port.M.Y_y test.cart_pose_loop_out_port.M.Y_z test.cart_pose_loop_out_port.M.Z_x test.cart_pose_loop_out_port.M.Z_y test.cart_pose_loop_out_port.M.Z_z test.tcp_pose_out_port.p.X test.tcp_pose_out_port.p.Y test.tcp_pose_out_port.p.Z test.tcp_pose_out_port.M.X_x test.tcp_pose_out_port.M.X_y test.tcp_pose_out_port.M.X_z test.tcp_pose_out_port.M.Y_x test.tcp_pose_out_port.M.Y_y test.tcp_pose_out_port.M.Y_z test.tcp_pose_out_port.M.Z_x test.tcp_pose_out_port.M.Z_y test.tcp_pose_out_port.M.Z_z stiff.cart_stiffdamp_out_port.stiffness.0 stiff.cart_stiffdamp_out_port.stiffness.1 stiff.cart_stiffdamp_out_port.stiffness.2 stiff.cart_stiffdamp_out_port.stiffness.3 stiff.cart_stiffdamp_out_port.stiffness.4 stiff.cart_stiffdamp_out_port.stiffness.5 stiff.cart_stiffdamp_out_port.damping.0 stiff.cart_stiffdamp_out_port.damping.1 stiff.cart_stiffdamp_out_port.damping.2 stiff.cart_stiffdamp_out_port.damping.3 stiff.cart_stiffdamp_out_port.damping.4 stiff.cart_stiffdamp_out_port.damping.5 lwr.current_joint_values.angles.0 lwr.current_joint_values.angles.1 lwr.current_joint_values.angles.2 lwr.current_joint_values.angles.3 lwr.current_joint_values.angles.4 lwr.current_joint_values.angles.5 lwr.current_joint_values.angles.6
 0.212664 0.00442292 0.392584  29.0156 10.232 -23.4634 18.981   0.399887 -0.416299 -0.0677476  -0.110204 0.141724 -0.245151 0.952717   -2.28943 0.953064 -1.31592  -0.148315 2.2467 -0.102539   -0.494409 -0.0361648 0.486704  0.613166 0.626029 -0.481783 0.551274 -0.775931 -0.306639 -0.565796 -0.0775736 -0.820888   -0.614386 -0.0526143 0.312634  0.613166 0.626029 -0.481783 0.551274 -0.775931 -0.306639 -0.565796 -0.0775736 -0.820888   10 10 10 10 10 10  0 0 0 0 0 0   2.8173 -0.627234 0.873076 0.983131 -0.350149 -1.22911 -0.344021 
 0.222642 0.0336301 0.247013  31.4509 12.6373 -23.6785 19.7114   -0.247404 0.463399 -0.0386579  0.943766 0.0366825 -0.261421 -0.199046   -2.13806 0.889526 -1.17493  0.0494385 2.22174 -0.102539   -0.494409 -0.0361648 0.486704  0.613166 0.626029 -0.481783 0.551274 -0.775931 -0.306639 -0.565796 -0.0775736 -0.820888   -0.614386 -0.0526143 0.312634  0.613166 0.626029 -0.481783 0.551274 -0.775931 -0.306639 -0.565796 -0.0775736 -0.820888   10 10 10 10 10 10  0 0 0 0 0 0   2.8173 -0.627234 0.873076 0.983131 -0.350149 -1.22911 -0.344021 
 0.232659 0.0336301 0.247013  31.4509 12.6373 -23.6785 19.7114   -0.247404 0.463399 -0.0386579  0.943766 0.0366825 -0.261421 -0.199046   -2.28943 0.974243 -1.36292  0.123596 2.12189 -0.102539   -0.494409 -0.0361648 0.486704  0.613166 0.626029 -0.481783 0.551274 -0.775931 -0.306639 -0.565796 -0.0775736 -0.820888   -0.614386 -0.0526143 0.312634  0.613166 0.626029 -0.481783 0.551274 -0.775931 -0.306639 -0.565796 -0.0775736 -0.820888   10 10 10 10 10 10  0 0 0 0 0 0   2.8173 -0.627234 0.873076 0.983131 -0.350149 -1.22911 -0.344021 
 0.24265 0.0336301 0.247013  31.4509 12.6373 -23.6785 19.7114   -0.247404 0.463399 -0.0386579  0.943766 0.0366825 -0.261421 -0.199046   -2.23267 1.05896 -1.36292  0.346069 2.19678 -0.102539   -0.494408 -0.0361649 0.486703  0.613166 0.62603 -0.481782 0.551274 -0.775931 -0.306639 -0.565795 -0.0775736 -0.820889   -0.614385 -0.0526144 0.312634  0.613166 0.62603 -0.481782 0.551274 -0.775931 -0.306639 -0.565795 -0.0775736 -0.820889   10 10 10 10 10 10  0 0 0 0 0 0   2.8173 -0.627234 0.873076 0.983131 -0.350149 -1.22911 -0.344021 
 0.252654 0.0336301 0.247013  31.4509 12.6373 -23.6785 19.7114   -0.247404 0.463399 -0.0386579  0.943766 0.0366825 -0.261421 -0.199046   -2.21375 0.974243 -1.5509  0.222473 1.99707 -0.102539   -0.494408 -0.0361649 0.486703  0.613166 0.62603 -0.481782 0.551274 -0.775931 -0.306639 -0.565795 -0.0775736 -0.820889   -0.614385 -0.0526144 0.312634  0.613166 0.62603 -0.481782 0.551274 -0.775931 -0.306639 -0.565795 -0.0775736 -0.820889   10 10 10 10 10 10  0 0 0 0 0 0   2.8173 -0.627234 0.873076 0.983131 -0.350149 -1.22911 -0.344021 
 0.262644 0.0336301 0.247013  31.4509 12.6373 -23.6785 19.7114   -0.247404 0.463399 -0.0386579  0.943766 0.0366825 -0.261421 -0.199046   -2.28943 0.953064 -1.36292  0.148315 2.22174 -0.0205078   -0.494408 -0.0361649 0.486703  0.613166 0.62603 -0.481782 0.551274 -0.775931 -0.306639 -0.565795 -0.0775736 -0.820889   -0.614385 -0.0526144 0.312634  0.613166 0.62603 -0.481782 0.551274 -0.775931 -0.306639 -0.565795 -0.0775736 -0.820889   10 10 10 10 10 10  0 0 0 0 0 0   2.8173 -0.627234 0.873076 0.983131 -0.350149 -1.22911 -0.344021 
 0.272678 0.0336301 0.247013  31.4509 12.6373 -23.6785 19.7114   -0.247404 0.463399 -0.0386579  0.943766 0.0366825 -0.261421 -0.199046   -2.21375 1.03778 -1.31592  -0.0494385 2.2467 0.143555   -0.494408 -0.0361648 0.486703  0.613165 0.626031 -0.481781 0.551275 -0.77593 -0.306641 -0.565795 -0.0775725 -0.820889   -0.614385 -0.0526141 0.312634  0.613165 0.626031 -0.481781 0.551275 -0.77593 -0.306641 -0.565795 -0.0775725 -0.820889   10 10 10 10 10 10  0 0 0 0 0 0   2.8173 -0.627234 0.873076 0.983131 -0.350149 -1.22911 -0.344021 
 0.282637 0.0336301 0.247013  31.4509 12.6373 -23.6785 19.7114   -0.247404 0.463399 -0.0386579  0.943766 0.0366825 -0.261421 -0.199046   -2.21375 1.03778 -1.12793  -0.0494385 2.34656 -0.0205078   -0.494409 -0.0361654 0.486704  0.613164 0.626031 -0.481782 0.551275 -0.77593 -0.306641 -0.565796 -0.0775733 -0.820888   -0.614386 -0.0526149 0.312634  0.613164 0.626031 -0.481782 0.551275 -0.77593 -0.306641 -0.565796 -0.0775733 -0.820888   10 10 10 10 10 10  0 0 0 0 0 0   2.8173 -0.627234 0.873076 0.983131 -0.350149 -1.22911 -0.344021 
 0.292668 0.0336301 0.247013  31.4509 12.6373 -23.6785 19.7114   -0.247404 0.463399 -0.0386579  0.943766 0.0366825 -0.261421 -0.199046   -2.28943 0.868347 -1.12793  -0.148315 2.2467 -0.102539   -0.494409 -0.0361654 0.486704  0.613164 0.626031 -0.481782 0.551275 -0.77593 -0.306641 -0.565796 -0.0775733 -0.820888   -0.614386 -0.0526149 0.312634  0.613164 0.626031 -0.481782 0.551275 -0.77593 -0.306641 -0.565796 -0.0775733 -0.820888   10 10 10 10 10 10  0 0 0 0 0 0   2.8173 -0.627234 0.873076 0.983131 -0.350149 -1.22911 -0.344021 
 0.302676 0.0336301 0.247013  31.4509 12.6373 -23.6785 19.7114   -0.247404 0.463399 -0.0386579  0.943766 0.0366825 -0.261421 -0.199046   -2.15698 0.953064 -1.36292  0.271912 2.39648 -0.0205078   -0.494409 -0.0361654 0.486704  0.613164 0.626031 -0.481782 0.551275 -0.77593 -0.306641 -0.565796 -0.0775733 -0.820888   -0.614386 -0.0526149 0.312634  0.613164 0.626031 -0.481782 0.551275 -0.77593 -0.306641 -0.565796 -0.0775733 -0.820888   10 10 10 10 10 10  0 0 0 0 0 0   2.8173 -0.627234 0.873076 0.983131 -0.350149 -1.22911 -0.344021 
